Name;Lat;Lon;Url
DZA_AR_Timimoun.AP.606070_TMYx.2007-2021.zip;29.24;0.28;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Timimoun.AP.606070_TMYx.2007-2021.zip
CAN_BC_White.Rock.717850_CWEC2016.zip;49.02;-123.78;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_White.Rock.717850_CWEC2016.zip
DZA_AR_Bordj.Mokhtar.AP.606860_TMYx.2004-2018.zip;21.33;0.95;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Bordj.Mokhtar.AP.606860_TMYx.2004-2018.zip
CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_TMYx.2007-2021.zip;56.25;-120.74;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_TMYx.2007-2021.zip
DZA_AR_Reggane.606450_TMYx.2007-2021.zip;26.72;0.28;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Reggane.606450_TMYx.2007-2021.zip
CAN_BC_Puntzi.Mountain.AUT.710500_CWEC2020.zip;52.11;-124.14;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Puntzi.Mountain.AUT.710500_CWEC2020.zip
DZA_AR_Timimoun.AP.606070_TMYx.zip;29.24;0.28;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Timimoun.AP.606070_TMYx.zip
CAN_BC_White.Rock.717850_CWEC2020v2.zip;49.02;-122.78;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_White.Rock.717850_CWEC2020v2.zip
DZA_AT_Beni.Saf.605180_TMYx.2004-2018.zip;35.30;-1.35;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AT_Ain_Temouchent/DZA_AT_Beni.Saf.605180_TMYx.2004-2018.zip
CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_TMYx.zip;56.25;-120.74;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_TMYx.zip
DZA_AT_Beni.Saf.605180_TMYx.2007-2021.zip;35.30;-1.35;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AT_Ain_Temouchent/DZA_AT_Beni.Saf.605180_TMYx.2007-2021.zip
